entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,score,month
2025-07-25 16:00:00,2025-07-26 16:00:00,158968000.0,160422500.0,0.015718572291278748,21601.857065966353,0.9149640179155554,Partial Exit - BB Middle (50%),3,2025-07
2025-07-25 16:00:00,2025-07-28 00:00:00,158968000.0,162798831.3148173,0.015718572291278748,58935.716358171776,2.409812864738381,BB Upper Target (100%),3,2025-07
2025-08-02 08:00:00,2025-08-02 12:00:00,158957000.0,158980000.0,0.031692524722526934,-1790.3107215762138,0.014469321892084022,Chandelier Stop,3,2025-08
2025-08-03 08:00:00,2025-08-03 12:00:00,158901000.0,158901000.0,0.03169806322512512,-2518.426972267218,0.0,Chandelier Stop,3,2025-08
2025-08-20 12:00:00,2025-08-20 16:00:00,159280000.0,159270000.0,0.03161473732205058,-2833.7869798615575,-0.0062782521346057265,Chandelier Stop,3,2025-08
2025-08-25 20:00:00,2025-08-26 00:00:00,157120000.0,156893357.14285713,0.03204034607696684,-9775.174308747053,-0.14424825429153873,Chandelier Stop,3,2025-08
2025-08-30 12:00:00,2025-08-30 16:00:00,151478000.0,151462000.0,0.033201481616157026,-3045.6051101321355,-0.010562589947055018,Chandelier Stop,3,2025-08
2025-08-31 08:00:00,2025-08-31 12:00:00,152195000.0,152195000.0,0.03303506679653369,-2513.88599554915,0.0,Chandelier Stop,3,2025-08
2025-09-22 20:00:00,2025-09-23 00:00:00,160513000.0,160492000.0,0.031315318239470764,-3170.550710474141,-0.013083052463040375,Chandelier Stop,3,2025-09
2025-09-27 20:00:00,2025-09-28 00:00:00,157299000.0,157253000.0,0.03194509306387587,-3981.205140724778,-0.029243669699108066,Chandelier Stop,3,2025-09
